"last_name, first_name","player_id","year","batting_avg","hard_hit_percent","oz_swing_miss_percent",""
"Suwinski, Jack","669261","2023",".224",43.4,55.1,
"Burger, Jake","669394","2023",".250",49.6,55.5,
"Hays, Austin","669720","2023",".275",40.1,49.1,
"Paredes, Isaac","670623","2023",".250",28.5,33,
"Friedl Jr., TJ","670770","2023",".279",27.6,35.5,
"Casas, Triston","671213","2023",".263",46.6,43.6,
"Harris II, Michael","671739","2023",".293",48.5,35.8,
"Garcia, Maikel","672580","2023",".272",50.6,32.8,
"Robert Jr., Luis","673357","2023",".264",42.3,54.3,
"Kim, Ha-Seong","673490","2023",".260",26.7,27.2,
"Suzuki, Seiya","673548","2023",".285",48,39.3,
"Jung, Josh","673962","2023",".266",47.4,47.9,
"Rodriguez, Julio","677594","2023",".275",52,48.6,
"Witt Jr., Bobby","677951","2023",".276",45.6,36.5,
"Tovar, Ezequiel","678662","2023",".253",36.4,51.7,
"Torkelson, Spencer","679529","2023",".233",50.9,45.9,
"Kwan, Steven","680757","2023",".268",18.8,26.9,
"Stott, Bryson","681082","2023",".280",35.2,23.9,
"Outman, James","681546","2023",".248",39.9,61.3,
"Abrams, CJ","682928","2023",".245",35.9,36,
"Carroll, Corbin","682998","2023",".285",40.9,37.2,
"Henderson, Gunnar","683002","2023",".255",52,41.5,
"Volpe, Anthony","683011","2023",".209",43,49.3,
"Vaughn, Andrew","683734","2023",".258",46.5,44,
"Yoshida, Masataka","807799","2023",".289",40.6,29,
